video_title,channel_id,published_at,description,vertical,ranking
VW BUS mit KOMPLETTEM ALCANTARA INNENRAUM?😱#vw #t6 #car #cars #auto #automotive #autofans,UCA73lSpJ8j1ic0_aMtV8W1g,2023-12-19 15:39:22.000,,Auto & Vehicles,4
Der aufwendigste Umbau den wir JEMALS hatten😱#brabus #car #auto #cars #automotive,UCA73lSpJ8j1ic0_aMtV8W1g,2023-12-15 14:30:34.000,,Auto & Vehicles,5
DIESE S-KLASSE HÄLT EINER GRANATE STAND!🤯🥵⎮Wir haben eine S-Klasse GEPANZERT! (BR6+)🔥⎮WEGA ARMOR🔴⚪️,UCA73lSpJ8j1ic0_aMtV8W1g,2023-12-10 16:00:23.000,"In diesem Video möchten wir euch unser SAHNESTÜCK unseres WEGA ARMOR Projekts vorstellen. Dieser W223 ist dazu ausgelegt, das Leben seiner Insassen und allen Umständen zu schützen! Was genau der Wagen alles aushält und welchen LUXUS er trotz alledem beinhaltet erfahrt ihr in diesem Video!

Viel Spaß mit dem Video 💥
Folgt uns auch auf unseren weiteren Social Media Kanälen:
🌐WEBSITE:  https://www.wega-performance.de/
🌐TIKTOK: https://www.tiktok.com/@wegaperformance
🌐INSTAGRAM:  https://www.instagram.com/wegaperformance
🌐FACEBOOK:  https://www.facebook.com/WEGAPerformance
🌐TWITCH: https://www.twitch.tv/wegaperformance

Vergesst nicht uns ein Like da zu lassen und den Kanal für weitere geile Videos zu abonnieren.

Für weitere Informationen und Anfragen kontaktiert uns !
Telefon :  033701/277777
E-Mail: info@wega-performance.de

0:00 Intro 
0:11 Fahrzeugvorstellung
2:07 Interieur und Funktionen
5:20 Die Rückbank
6:41 Schutz und Kommunikation
8:01 Outro",Auto & Vehicles,6
WIR HABEN EINE 8000€ ABGASANLAGE VERBAUT!🤯🔥⎮AUDI R8 X CAPRISTO⎮WEGAPERFORMANCE🔴⚪️,UCA73lSpJ8j1ic0_aMtV8W1g,2023-12-03 16:00:09.000,"FREUNDE! 

Unser Kunde war mit seinem Sound nicht zufrieden und hat sein Schätzchen in unsere Obhut gegeben um den Krawall auf ein neues Level zu bringen! 
Ob es sich gelohnt hat? Schreibt es uns in die Kommentare!🤔

Viel Spaß mit dem Video 💥
Folgt uns auch auf unseren weiteren Social Media Kanälen:
🌐WEBSITE:  https://www.wega-performance.de/
🌐TIKTOK: https://www.tiktok.com/@wegaperformance
🌐INSTAGRAM:  https://www.instagram.com/wegaperformance
🌐FACEBOOK:  https://www.facebook.com/WEGAPerformance
🌐TWITCH: https://www.twitch.tv/wegaperformance

Vergesst nicht uns ein Like da zu lassen und den Kanal für weitere geile Videos zu abonnieren.

Für weitere Informationen und Anfragen kontaktiert uns !
Telefon :  033701/277777
E-Mail: info@wega-performance.de",Auto & Vehicles,7
LOUIS VUITTON EDITION - S580 MAYBACH UMBAU🤯😈⎮WEGAPERFORMANCE🔴⚪️,UCA73lSpJ8j1ic0_aMtV8W1g,2023-11-12 16:00:02.000,"Unserem Kunden war der S580 einfach zu Standard, deshalb hat er uns seinen Maybach dagelassen, um ihn ein wenig aufzupimpen! Was wir alles verändert und gemacht haben seht ihr im heutigen Video! 

Viel Spaß mit dem Video 💥
Folgt uns auch auf unseren weiteren Social Media Kanälen:
🌐WEBSITE:  https://www.wega-performance.de/
🌐TIKTOK: https://www.tiktok.com/@wegaperformance
🌐INSTAGRAM:  https://www.instagram.com/wegaperformance
🌐FACEBOOK:  https://www.facebook.com/WEGAPerformance
🌐TWITCH: https://www.twitch.tv/wegaperformance

Vergesst nicht uns ein Like da zu lassen und den Kanal für weitere geile Videos zu abonnieren.

Für weitere Informationen und Anfragen kontaktiert uns !
Telefon :  033701/277777
E-Mail: info@wega-performance.de",Auto & Vehicles,8
PANZER AUF RÄDERN - BMW M3 Competition mit BR4-Panzerung😈🔥⎮WEGAPERFORMANCE⚪️🔴,UCA73lSpJ8j1ic0_aMtV8W1g,2023-11-05 16:00:17.000,"Freunde! 
Im heutigen Video präsentieren wir das neue Fahrzeug der WEGA-Armor Reihe. Dieser BMW M3 Competition ist scheint nach außen hin wie ein normaler M3. Doch der hat es in sich! 

Gepanzerte Türen, Scheiben, Unterboden und Dach. Dazu Blaulicht, eine Sirene und Funk nach außen um auf sich aufmerksam zu machen und für maximale Sicherheit zu garantieren!

Was das KFZ anderweitig leisten kann und wo es eingesetzt wird erfahrt ihr im heutigen Video!

Viel Spaß mit dem Video 💥
Folgt uns auch auf unseren weiteren Social Media Kanälen:
🌐WEBSITE:  https://www.wega-performance.de/
🌐TIKTOK: https://www.tiktok.com/@wegaperformance
🌐INSTAGRAM:  https://www.instagram.com/wegaperformance
🌐FACEBOOK:  https://www.facebook.com/WEGAPerformance
🌐TWITCH: https://www.twitch.tv/wegaperformance

Vergesst nicht uns ein Like da zu lassen und den Kanal für weitere geile Videos zu abonnieren.

Für weitere Informationen und Anfragen kontaktiert uns !
Telefon :  033701/277777
E-Mail: info@wega-performance.de",Auto & Vehicles,9
25 jaar Pöttinger Jumbo demo tour,UCAEK1ln4mv8LDGG6Y4qq3ow,2024-05-21 14:30:07.000,"25 jaar Pöttinger Jumbo demo tour

subscribe op Trekkerweb klik hier https://www.youtube.com/subscription_center?add_user=trekkerweb

Volg trekkerweb op instagram https://www.instagram.com/trekkerweb/

Playlists:  
Most popular: http://bit.ly/1iRwDMG
John Deere:  http://bit.ly/1a6PYmj 
New Holland: http://bit.ly/1e4UiDf 
Trekkerweb TV: http://bit.ly/1aUKYDi  
Massey Ferguson: http://bit.ly/1bpZ36y  
Case-IH: http://bit.ly/17vCzFv  
Fendt: http://bit.ly/1bweQ7y  
Follow us on:  
Facebook: http://facebook.com/trekkerweb 
Twitter: http://twitter.com/trekkerweb",Auto & Vehicles,1
Dikke trekkers rook en plezier bij Trekkerslep Schoonebeek 2024,UCAEK1ln4mv8LDGG6Y4qq3ow,2024-05-20 17:28:01.000,"Dikke trekkers rook en plezier bij Trekkerslep Schoonebeek 2024
More news on: https://www.trekkerweb.nl/artikel/1018720-dikke-trekkers-rook-en-plezier-bij-trekkerslep-schoonebeek-2024/
subscribe op Trekkerweb klik hier https://www.youtube.com/subscription_center?add_user=trekkerweb
Trekkerweb op  Tiktok https://www.tiktok.com/@trekkerwebnl
Volg trekkerweb op instagram https://www.instagram.com/trekkerweb/

Playlists:  
Most popular: http://bit.ly/1iRwDMG
John Deere:  http://bit.ly/1a6PYmj 
New Holland: http://bit.ly/1e4UiDf 
Trekkerweb TV: http://bit.ly/1aUKYDi  
Massey Ferguson: http://bit.ly/1bpZ36y  
Case-IH: http://bit.ly/17vCzFv  
Fendt: http://bit.ly/1bweQ7y  
Follow us on:  
Facebook: http://facebook.com/trekkerweb 
Twitter: http://twitter.com/trekkerweb",Auto & Vehicles,2
Eerste beelden trekkerslep Schoonebeek 2024,UCAEK1ln4mv8LDGG6Y4qq3ow,2024-05-20 14:13:49.000,"Eerste beelden trekkerslep Schoonebeek 2024
More news on:
subscribe op Trekkerweb klik hier https://www.youtube.com/subscription_center?add_user=trekkerweb
Trekkerweb op  Tiktok https://www.tiktok.com/@trekkerwebnl
Volg trekkerweb op instagram https://www.instagram.com/trekkerweb/

Playlists:  
Most popular: http://bit.ly/1iRwDMG
John Deere:  http://bit.ly/1a6PYmj 
New Holland: http://bit.ly/1e4UiDf 
Trekkerweb TV: http://bit.ly/1aUKYDi  
Massey Ferguson: http://bit.ly/1bpZ36y  
Case-IH: http://bit.ly/17vCzFv  
Fendt: http://bit.ly/1bweQ7y  
Follow us on:  
Facebook: http://facebook.com/trekkerweb 
Twitter: http://twitter.com/trekkerweb",Auto & Vehicles,3
Case Puma 170 poten op breed spoor met PTG luchtdruk wisselsyteem,UCAEK1ln4mv8LDGG6Y4qq3ow,2024-05-19 08:13:07.000,"Case Puma 170 poten op breed spoor met PTG luchtdruk wisselsyteem
More news on: https://www.trekkerweb.nl/artikel/1018558-case-puma-170-poten-op-breed-spoor-met-ptg/
subscribe op Trekkerweb klik hier https://www.youtube.com/subscription_center?add_user=trekkerweb
Trekkerweb op  Tiktok https://www.tiktok.com/@trekkerwebnl
Volg trekkerweb op instagram https://www.instagram.com/trekkerweb/

Playlists:  
Most popular: http://bit.ly/1iRwDMG
John Deere:  http://bit.ly/1a6PYmj 
New Holland: http://bit.ly/1e4UiDf 
Trekkerweb TV: http://bit.ly/1aUKYDi  
Massey Ferguson: http://bit.ly/1bpZ36y  
Case-IH: http://bit.ly/17vCzFv  
Fendt: http://bit.ly/1bweQ7y  
Follow us on:  
Facebook: http://facebook.com/trekkerweb 
Twitter: http://twitter.com/trekkerweb",Auto & Vehicles,4
